avg_transaction,frequency,credit_score,vip_status
15.21571610655726,7.0,678.5571381727905,0
,10.0,761.094175438605,0
30.511738194515228,14.0,910.0,1
,9.0,272.0,0
,5.0,890.0,0
,-6.0,804.1118955763184,0
,17.0,786.0344735597115,0
17.189939271571443,6.0,720.6430334004168,0
22.260524485154228,13.0,711.053017959188,0
,10.0,297.0,0
,21.0,843.778573001717,0
,6.0,830.9534240554041,0
,13.0,701.5865907315674,0
,13.0,790.0112669000674,0
,12.0,663.4284285551367,0
30.733056022882852,19.0,727.6328769471318,1
,12.0,703.621782356877,0
,18.0,803.463972878622,1
8.549796361885555,10.0,,0
,13.0,771.4675117711236,1
1808.8582556459191,10.0,750.0355060782982,1
1279.5748818159898,10.0,741.2275585135245,0
,-9.0,833.5791475372199,0
,13.0,837.9848596167155,1
13.28088123866427,18.0,742.7803590773515,0
,5.0,732.7041849700003,0
,12.0,674.6563340598417,0
,8.0,749.7870506380395,0
,11.0,847.6651627872996,0
,11.0,991.0,1
54.92194515374499,11.0,786.437964157189,1
,12.0,680.1251338040368,0
14.233293071150866,11.0,728.26125351332,0
,14.0,240.0,0
,9.0,271.0,0
,-18.0,791.2333667205281,1
,15.0,719.8664057720669,1
,16.0,662.5005725588168,1
27.24491188681157,13.0,165.0,1
,-16.0,703.1925355364546,1
,12.0,775.3302013750993,0
,10.0,124.0,1
,9.0,666.8123402484005,0
,10.0,802.4562708620012,0
12.003123239239462,-6.0,857.0,0
,14.0,752.7527310993481,0
27.96793417089778,7.0,732.0908718017222,0
,-15.0,831.1295751116454,0
,13.0,896.0,1
,,659.383270811464,1
,-14.0,862.9413560954094,1
,12.0,237.0,0
,16.0,855.1218338490919,0
28.140918772367396,,737.1895213930007,1
,11.0,732.9541646954033,0
,9.0,936.0,0
,16.0,729.9605177510255,0
,20.0,876.2198268911611,1
,20.0,871.0,0
,12.0,734.8851783730655,0
,11.0,753.8505378746472,0
17.78303249468382,9.0,701.6332401537647,0
,15.0,829.8560267145125,0
,12.0,676.4459582153435,0
25.473424620634734,10.0,719.2995696464297,0
,10.0,796.8330154923397,0
,7.0,752.1176065383715,0
,12.0,777.4607591250024,0
,7.0,826.6582058342715,0
13.8757344456126,12.0,,0
,12.0,756.8738172570572,1
,13.0,171.0,0
18.43297567191875,-15.0,718.5831925601883,0
,-13.0,744.9845179503724,0
,8.0,748.4779834248617,0
,16.0,744.878911699151,0
,11.0,696.539467151942,1
,7.0,670.8175087419751,0
668.3225391519808,15.0,770.8600787189597,0
40.13152596416783,9.0,718.3263107224672,0
,7.0,845.390439449064,0
16.03364549765928,12.0,746.3728838382381,0
,12.0,737.4255371254255,1
,12.0,804.7169893201327,0
,15.0,770.1096318723861,1
,13.0,741.2241286106475,0
,12.0,717.9634126117778,0
,,932.8850901999538,1
14.672994666854832,18.0,768.0892881130869,0
,12.0,804.2214788692198,1
15.255363471368568,14.0,698.8527239883252,0
,18.0,721.1007306788163,1
,12.0,855.6172944145144,1
40.02286236347925,,819.8465469677817,1
,12.0,772.8811051866642,0
,11.0,730.9214554101488,0
839.0569732721408,11.0,738.2982114021712,0
,11.0,716.1944632371935,1
,13.0,692.157533493068,1
,14.0,796.1922092130507,0
,12.0,804.7169893201327,0
28.140918772367396,,737.1895213930007,1
,12.0,756.8738172570572,1
,14.0,752.7527310993481,0
12.003123239239462,-6.0,857.0,0
,-16.0,703.1925355364546,1
,-9.0,833.5791475372199,0
,7.0,845.390439449064,0
,21.0,843.778573001717,0
15.21571610655726,7.0,678.5571381727905,0
8.549796361885555,10.0,,0
54.92194515374499,11.0,786.437964157189,1
,-13.0,744.9845179503724,0
,14.0,240.0,0
15.255363471368568,14.0,698.8527239883252,0
,5.0,890.0,0
,11.0,696.539467151942,1
,7.0,670.8175087419751,0
,13.0,701.5865907315674,0
,12.0,680.1251338040368,0
,9.0,936.0,0
14.672994666854832,18.0,768.0892881130869,0
,12.0,674.6563340598417,0
,9.0,666.8123402484005,0
13.8757344456126,12.0,,0
30.733056022882852,19.0,727.6328769471318,1
,12.0,775.3302013750993,0
839.0569732721408,11.0,738.2982114021712,0
,10.0,297.0,0
18.43297567191875,-15.0,718.5831925601883,0
